53621
(1,0.0,-0.0)
(2,6293.966432861867,1150.5339059904218)
(3,1168.2138993276749,1098.272290468216)
(4,2073.3406022145646,592.4465691624209)
(5,72.05431246571243,349.8192392233759)
(6,2038.4253952479921,19.57030708901584)
(7,6063.459349927842,-1711.2899210602045)
(8,6218.020297963754,-2100.583359242417)
(9,879.8854545385111,596.2271966673434)
(10,1861.1806821766077,895.4527442688122)
(11,-870.7674705535173,969.5085654137656)
(12,1220.809099630569,-189.920934708789)
(13,2206.3297344811726,23.350934594869614)
(14,4552.876271461253,1015.7656548982486)
(15,1325.665915456484,621.0236653098837)
(16,2267.3757492093137,-382.5105476574972)
(17,4958.848948640865,-2312.6320843528956)
(18,817.5051006907597,-1319.1054147845134)
(19,518.5019429435488,561.200794775039)
(20,-1582.6373909320682,-1634.78781152796)
(21,4553.432246094802,-192.7008078750223)
(22,4849.544335749117,1435.7488928353414)
(23,-2044.207531433669,-259.8625435680151)
(24,1901.5444405486342,1209.911996819079)
(25,3206.416904722457,846.3045866917819)
(26,-100.74260354007129,1425.741349437274)
(27,3846.0101227818523,-553.7507346896455)
(28,2461.077311424073,999.4200006807223)
(29,2231.348592976341,744.8948135916144)
(30,2411.373179213726,1440.1966899009421)
(31,1021.658986010123,897.3430580217391)
(32,4306.3571190903895,-188.3642057357356)
(33,3029.6169713577256,-83.17380513064563)
(34,6371.135711953277,343.1475436249748)
(35,5074.714062204468,-1332.1152212014422)
(36,1843.723078693496,153.67138862330467)
(37,2602.7396479690215,327.0242792619392)
(38,368.0552071934799,-1865.8508690958843)
(39,6065.016078900779,-159.6759146619588)
(40,2564.3773982767016,892.4504812499508)
(41,-1686.8270371977706,1303.31573520042)
(42,841.1896200660849,-79.05959284491837)
(43,6161.199690448353,-1975.9338464746252)
(44,2347.213706539944,521.504205962643)
(45,-324.1332111688098,-780.8107748972252)
(46,6274.396125772502,1157.4279914433137)
(47,234.2877104402287,736.9999738000333)
(48,6137.070391366491,20.904646208509803)
(49,2331.090442176559,490.59201635513455)
(50,6157.975037575583,109.63819767069072)
(51,4718.2231273819925,1325.2211357494816)
(52,6933.782040774706,-456.3439789498225)
(53,2065.0009827160975,-936.1500874208286)
(54,2717.826397046447,1208.8000475531444)
(55,582.9950003974373,306.675607685931)
(56,5212.039796610479,-843.8582983063534)
(57,2129.9388198765228,226.72645542863756)
(58,4636.606051224866,670.5054076667875)
(59,1122.9575641835108,821.2857281966135)
(60,-1084.9288992710644,-1220.1419300707057)
(61,1711.9570906194858,1193.788732455112)
(62,1418.4024842779618,747.1187121244147)
(63,1052.6823705439456,1029.6650207284838)
(64,-1413.7322973590344,-562.646328820847)
(65,6510.351760112215,1217.80683661066)
(66,2249.5845609459793,1414.955441551283)
(67,2408.815695901052,-2071.339093534276)
(68,5088.947012815042,1071.58550807368)
(69,3235.1051957966993,-2017.0759693328291)
(70,6577.179911025567,-174.35364497825503)
(71,6170.095284579904,-130.87642866186798)
(72,4289.344295313931,1097.9387056883425)
(73,-670.7277975201141,959.7234118692577)
(74,-1722.8541934307432,-677.3994931187481)
(75,4233.07966243173,-231.17425249423832)
(76,2087.4623578982428,-424.31984007544816)
(77,1878.3047008799622,-405.52789747249335)
(78,2397.696203236701,-484.5874903174117)
(79,1940.1290800942807,1272.625935446471)
(80,2551.1452020059805,348.26251025125384)
(81,294.22177590150386,868.9883517278358)
(82,1483.5627112917136,669.7270431807265)
(83,2821.6824585322756,-1820.2609491711482)
(84,268.202163066715,94.29329779464751)
(85,4209.2839481297415,-266.9790188735351)
(86,-789.5951741031604,-2554.592244733125)
(87,1897.9862028958742,764.0203409744427)
(88,-95.2940521343844,381.2874034643173)
(89,2816.2339071265887,665.9464156748727)
(90,3815.653907807893,496.15176268760115)
