59526
(34009,38533)
(35932,6791)
(44222,23930)
(21534,52842)
(35251,31052)
(18001,9709)
(42218,6733)
(21141,41909)
(36482,44538)
(39694,15119)
(39779,28578)
(8422,25874)
(16218,10057)
(18039,36432)
(2078,43932)
(20702,18730)
(52940,12761)
(24309,13849)
(5127,12665)
(18411,15184)
(2073,29060)
(2125,38815)
(4714,735)
(49541,20703)
(37168,19285)
(37023,31823)
(42945,32274)
(41635,40886)
(29087,3952)
(44404,50009)
(29679,4395)
(1373,41609)
(16958,1294)
(13112,32597)
(13202,50227)
(43208,45978)
(2740,33119)
(49413,19816)
(28984,14169)
(19212,45955)
(45616,49422)
(797,5316)
(30594,27995)
(5043,46696)
(50243,16298)
(20236,9528)
(3728,27666)
(10723,47471)
(20022,37209)
(19207,5984)
(23004,40236)
(37268,44334)
(21511,22550)
(34357,42758)
(1890,881)
(45623,45043)
(8114,35431)
(18506,25371)
(49068,24091)
(29431,13201)
(27356,12746)
(16955,2068)
(51125,44075)
(45240,7929)
(44825,31589)
(32984,30976)
(4068,13828)
(9108,7351)
(27727,17181)
(6373,49033)
(28980,2166)
(30505,2957)
(43184,40267)
(35966,50055)
(22451,6244)
(41082,12513)
(11364,3997)
(19614,31458)
(7179,31831)
(25199,27745)
(12400,32271)
(11078,44391)
(34021,8992)
(33018,17928)
(5555,40055)
(11805,48902)
(37217,42858)
(47987,32411)
(1001,51902)
(1840,34723)
(37813,11089)
(23084,24962)
(6118,9659)
(42398,29899)
(23621,50864)
(1429,30722)
(38127,35564)
(10168,18162)
(7369,44812)
(31143,11577)
(9976,7200)
(24069,13624)
(12344,29011)
(12684,9742)
(10369,40556)
(39954,12320)
(27080,13184)
(46423,39121)
(21926,6887)
(14348,40992)
(11395,47554)
(32556,41431)
(3990,41870)
(35978,40957)
(2395,25993)
(32934,49086)
(49221,20364)
(37300,24406)
(49302,41233)
(23249,2664)
(53241,36809)
(53532,7760)
(22959,18558)
(29891,43779)
(11889,35672)
(35826,6018)
(41576,22690)
(33763,31471)
(45344,16392)
(2580,44807)
(8378,40639)
(1424,24659)
(23002,9529)
(14467,23489)
(7384,12169)
(32076,27133)
(47127,9286)
(46049,52437)
(49738,9737)
(17828,25744)
(44134,45173)
(6699,4436)
(37000,21355)
(51042,52421)
(18291,45500)
(40715,15243)
(26328,8999)
(3723,6963)
(31414,24297)
(12595,25831)
(20917,8764)
(19933,45228)
(19838,7323)
(43360,22554)
(12245,35159)
(31307,23775)
(33221,23083)
(20356,21937)
(7281,21456)
(12081,34949)
(20045,43186)
(26543,1315)
(36455,29333)
(6309,9236)
(48913,45757)
(45406,14255)
(15130,40764)
(33751,9738)
(45714,39264)
(46670,31440)
(30857,32875)
(48901,30878)
(39291,8691)
(1051,6794)
(12325,37591)
(40247,42293)
(1275,16198)
(17551,37642)
(18088,21584)
(4509,26681)
(22821,18221)
(26095,18763)
(15342,9725)
(10688,9425)
(43795,31824)
(52553,51124)
(48786,51139)
(51474,6289)
(51215,22344)
(3714,30984)
(39936,44068)
(35718,48602)
(16338,37164)
(2099,17410)
(5500,26499)
(46214,19368)
(10464,39530)
(30666,25125)
(52754,34569)
(28322,7337)
(48520,38271)
(45386,8012)
(32323,27587)
(37846,9792)
(16311,29224)
(34755,28379)
(33465,30130)
(23189,48830)
(41433,35820)
(37550,5424)
(28900,45010)
(30443,24812)
(28530,23895)
(52306,8453)
(53083,41208)
(53582,40936)
(30161,14167)
(6775,6854)
(53068,29006)
(16577,1137)
(21777,34127)
(24536,11737)
(1056,2701)
(25205,18254)
(29933,42183)
(19009,35213)
(34952,49438)
(25306,51442)
(44942,7083)
(52614,22972)
(49251,43950)
(32245,16044)
(4014,27473)
(37020,47329)
(47720,51861)
(37840,1888)
(2682,1499)
(9729,34054)
(23825,3523)
(28408,13894)
(12453,42747)
(14996,40203)
(24873,49808)
(25196,15039)
(3448,27389)
(41048,16263)
(33511,4801)
(50237,29658)
(45904,43603)
(13192,44854)
(21384,40098)
(37262,9460)
(42580,38757)
(5390,20501)
(9238,23847)
(36032,21845)
(11304,14359)
(17241,11222)
(21893,34334)
(9649,29211)
(34331,17149)
(16928,25810)
(41555,13931)
